DATE,PRECIP
3/28/77,16.65
3/29/77,16.76
3/30/77,16.88
3/31/77,17.00
4/1/77,17.02
4/2/77,17.04
4/3/77,17.06
4/4/77,17.08
4/5/77,17.10
4/6/77,17.12
4/7/77,17.14
4/8/77,17.16
4/9/77,17.18
4/10/77,17.20
4/11/77,17.22
4/12/77,17.24
4/13/77,17.26
4/14/77,17.28
4/15/77,17.30
4/16/77,17.32
4/17/77,17.34
4/18/77,17.36
4/19/77,17.38
4/20/77,17.40
4/21/77,17.42
4/22/77,17.44
4/23/77,17.46
4/24/77,17.48
4/25/77,17.50
4/26/77,17.52
4/27/77,17.54
4/28/77,17.56
4/29/77,17.58
4/30/77,17.60
5/1/77,17.81
5/2/77,18.03
5/3/77,18.24
5/4/77,18.45
5/5/77,18.67
5/6/77,18.88
5/7/77,19.09
5/8/77,19.31
5/9/77,19.52
5/10/77,19.73
5/11/77,19.95
5/12/77,20.16
5/13/77,20.37
5/14/77,20.59
5/15/77,20.80
5/16/77,21.01
5/17/77,21.22
5/18/77,21.44
5/19/77,21.65
5/20/77,21.86
5/21/77,22.08
5/22/77,22.29
5/23/77,22.50
5/24/77,22.72
5/25/77,22.93
5/26/77,23.14
5/27/77,23.36
5/28/77,23.57
5/29/77,23.78
5/30/77,24.00
5/31/77,24.21
6/1/77,24.21
6/2/77,24.21
6/3/77,24.22
6/4/77,24.22
6/5/77,24.22
6/6/77,24.22
6/7/77,24.23
6/8/77,24.23
6/9/77,24.23
6/10/77,24.23
6/11/77,24.24
6/12/77,24.24
6/13/77,24.24
6/14/77,24.24
6/15/77,24.24
6/16/77,24.25
6/17/77,24.25
6/18/77,24.25
6/19/77,24.25
6/20/77,24.26
6/21/77,24.26
6/22/77,24.26
6/23/77,24.26
6/24/77,24.27
6/25/77,24.27
6/26/77,24.27
6/27/77,24.27
6/28/77,24.28
6/29/77,24.28
6/30/77,24.28
7/1/77,24.28
7/2/77,24.29
7/3/77,24.29
7/4/77,24.29
7/5/77,24.30
7/6/77,24.30
7/7/77,24.30
7/8/77,24.31
7/9/77,24.31
7/10/77,24.32
7/11/77,24.32
7/12/77,24.32
7/13/77,24.33
7/14/77,24.33
7/15/77,24.33
7/16/77,24.34
7/17/77,24.34
7/18/77,24.34
7/19/77,24.35
7/20/77,24.35
7/21/77,24.35
7/22/77,24.36
7/23/77,24.36
7/24/77,24.37
7/25/77,24.37
7/26/77,24.37
7/27/77,24.38
7/28/77,24.38
7/29/77,24.38
7/30/77,24.39
7/31/77,24.39
8/1/77,24.39
8/2/77,24.39
8/3/77,24.39
8/4/77,24.39
8/5/77,24.39
8/6/77,24.39
8/7/77,24.39
8/8/77,24.39
8/9/77,24.39
8/10/77,24.39
8/11/77,24.39
8/12/77,24.39
8/13/77,24.39
8/14/77,24.39
8/15/77,24.39
8/16/77,24.39
8/17/77,24.39
8/18/77,24.39
8/19/77,24.39
8/20/77,24.39
8/21/77,24.39
8/22/77,24.39
8/23/77,24.39
8/24/77,24.39
8/25/77,24.39
8/26/77,24.39
8/27/77,24.39
8/28/77,24.39
8/29/77,24.39
8/30/77,24.39
8/31/77,24.39
9/1/77,24.44
9/2/77,24.50
9/3/77,24.55
9/4/77,24.61
9/5/77,24.66
9/6/77,24.72
9/7/77,24.77
9/8/77,24.82
9/9/77,24.88
9/10/77,24.93
9/11/77,24.99
9/12/77,25.04
9/13/77,25.10
9/14/77,25.15
9/15/77,25.20
9/16/77,25.26
9/17/77,25.31
9/18/77,25.37
9/19/77,25.42
9/20/77,25.48
9/21/77,25.53
9/22/77,25.59
9/23/77,25.64
9/24/77,25.69
9/25/77,25.75
9/26/77,25.80
9/27/77,25.86
9/28/77,25.91
9/29/77,25.97
9/30/77,26.02
10/1/17,130.83
